Filename,Touches
app/build.gradle.kts,5
app/proguard-rules.pro,1
build.gradle.kts,3
gradle.properties,7
gradle/libs.versions.toml,3
gradle/wrapper/gradle-wrapper.properties,6
rootbeerlib/build.gradle.kts,5
rootbeerlib/proguard-rules.pro,1
settings.gradle.kts,4
rootbeerlib/gradle.properties,1
.circleci/config.yml,8
gradle-mvn-push.gradle,2
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,3
app/build.gradle,15
build.gradle,14
dependencies.gradle,2
rootbeerlib/build.gradle,16
settings.gradle,1
app/src/main/AndroidManifest.xml,6
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,2
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,2
gradlew.bat,1
rootbeerlib/src/main/AndroidManifest.xml,3
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,5
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,6
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,5
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,6
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,1
rootbeerlib/src/main/res/values/strings.xml,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,39
rootbeerlib/src/main/jni/Android.mk,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,18
app/src/main/res/layout/activity_main.xml,3
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,7
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,6
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,1
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,3
rootbeerlib/src/main/jni/Application.mk,2
rootbeerlib/jni/toolChecker.cpp,7
app/src/main/res/layout/content_main.xml,2
app/src/main/res/values/colors.xml,2
.idea/gradle.xml,2
.idea/misc.xml,3
rootbeerlib/jni/build.sh,5
rootbeerlib/jni/toolChecker.h,5
rootbeerlib/jni/Application.mk,2
.idea/modules.xml,1
.idea/runConfigurations.xml,2
app/jni/Android.mk,3
app/jni/build.sh,3
app/jni/toolChecker.cpp,2
app/jni/toolChecker.h,2
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,2
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,2
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,3
app/jni/rootChecker.cpp,1
app/jni/rootChecker.h,1
